icd10_code,hcc_category,hcc_description,raf_weight,model_year
M17.11,0,No HCC mapping,0.0,2024
M17.12,0,No HCC mapping,0.0,2024
E11.9,19,Diabetes without Complications,0.104,2024
E11.65,18,Diabetes with Chronic Complications,0.302,2024
I10,0,No HCC mapping,0.0,2024
I50.9,85,Congestive Heart Failure,0.331,2024
I50.32,85,Congestive Heart Failure,0.331,2024
I50.43,85,Congestive Heart Failure,0.331,2024
N18.5,136,Chronic Kidney Disease Stage 5,0.289,2024
A41.9,2,Septicemia/Sepsis/SIRS/Shock,0.514,2024
J44.1,111,Chronic Obstructive Pulmonary Disease,0.335,2024
I21.09,86,Acute Myocardial Infarction,0.248,2024
