icd10_code,code_description,category_code,category_description,chapter,is_billable,effective_date,expiration_date
M17.11,"Primary osteoarthritis, right knee",M17,Gonarthrosis,Musculoskeletal,True,2024-10-01,
M17.12,"Primary osteoarthritis, left knee",M17,Gonarthrosis,Musculoskeletal,True,2024-10-01,
Z96.641,Presence of right artificial knee joint,Z96,Presence of functional implants,Factors influencing health,True,2024-10-01,
E11.9,Type 2 diabetes mellitus without complications,E11,Type 2 diabetes mellitus,Endocrine,True,2024-10-01,
E11.65,Type 2 diabetes mellitus with hyperglycemia,E11,Type 2 diabetes mellitus,Endocrine,True,2024-10-01,
I10,Essential (primary) hypertension,I10,Essential hypertension,Circulatory,True,2024-10-01,
I50.9,"Heart failure, unspecified",I50,Heart failure,Circulatory,True,2024-10-01,
I50.32,Chronic diastolic heart failure,I50,Heart failure,Circulatory,True,2024-10-01,
I50.43,Acute on chronic combined systolic and diastolic HF,I50,Heart failure,Circulatory,True,2024-10-01,
N18.5,"Chronic kidney disease, stage 5",N18,Chronic kidney disease,Genitourinary,True,2024-10-01,
A41.9,"Sepsis, unspecified organism",A41,Other sepsis,Infectious,True,2024-10-01,
J44.1,COPD with (acute) exacerbation,J44,Chronic obstructive pulmonary disease,Respiratory,True,2024-10-01,
I21.09,ST elevation MI involving other coronary artery,I21,Acute myocardial infarction,Circulatory,True,2024-10-01,
L03.115,Cellulitis of right lower limb,L03,Cellulitis and acute lymphangitis,Skin,True,2024-10-01,
K92.1,Melena,K92,Other diseases of digestive system,Digestive,True,2024-10-01,
